Code;Nom;DCI;Marque;Categorie;Rayon;Prix Vente;Prix Achat;Rx;Quantite;Date de preremption;Emplacement
PRES015;BROSSE LONGRISH;;BROSSE LONGRISH;PARAPHARMA;PARAPHARMA;15000;0;Non;0;2027-01-01;rayon
8942;BROSSE MAXI WORD;;BROSSE MAXI WORD;PARAPHARMA;PARAPHARMA;20000;0;Non;10;2030-01-01;rayon
KRUG002;BROSSE MOMBEYA;;BROSSE MOMBEYA;PARAPHARMA;PARAPHARMA;5000;0;Non;0;2042-06-01;rayon
bross01;BROSSE OPTIMALE;;BROSSE OPTIMALE;PARAPHARMA;PARAPHARMA;150000;105000;Non;12;2030-12-01;rayon
KAMA004;BROSSE RIDENT LOT 4;;BROSSE RIDENT LOT 4;PARAPHARMA;PARAPHARMA;50000;0;Non;0;2040-03-01;rayon
BALE004;BROSSE SANAMA;;BROSSE SANAMA;PARAPHARMA;PARAPHARMA;20000;0;Non;1;2030-07-01;rayon
4005590;BROSSE SENSITIVE;;BROSSE SENSITIVE;PARAPHARMA;PARAPHARMA;20000;0;Non;2;2040-12-01;rayon
VIKI001;BROSSE SENSODYNE;;BROSSE SENSODYNE;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2028-03-01;rayon
90004576;BROSSE SIGNAL 7ANS;;BROSSE SIGNAL 7ANS;PARAPHARMA;PARAPHARMA;25000;0;Non;0;2027-01-01;rayon
FLEX007;BROSSE SIGNAL CLASSIC CLEAN;;BROSSE SIGNAL CLASSIC CLEAN;PARAPHARMA;PARAPHARMA;25000;0;Non;3;2028-01-01;rayon
BROS006;BROSSE SIGNAL EASY CLEAN;;BROSSE SIGNAL EASY CLEAN;PARAPHARMA;PARAPHARMA;20000;0;Non;3;2027-01-01;rayon
BROSS00001;BROSSE SIGNAL ENFANT 6-13 ANS;;BROSSE SIGNAL ENFANT 6-13 ANS;PARAPHARMA;PARAPHARMA;30000;21000;Non;3;2030-12-01;rayon
141;BROSSE SIGNAL EXTRA CLEAN;;BROSSE SIGNAL EXTRA CLEAN;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2028-09-01;rayon
9054829;BROSSE SIGNAL LOT DE 4;;BROSSE SIGNAL LOT DE 4;PARAPHARMA;PARAPHARMA;50000;0;Non;0;2030-01-01;rayon
BISCUIT000;BROSSE SIGNAL ULTRA ACCESS;;BROSSE SIGNAL ULTRA ACCESS;PARAPHARMA;PARAPHARMA;25000;0;Non;9;2030-07-01;rayon
6840566;BROSSE SIGNAL X TRACLEAN;;BROSSE SIGNAL X TRACLEAN;PARAPHARMA;PARAPHARMA;25000;0;Non;3;2030-01-01;rayon
BALE002;BROSSE SIMPLE CHOISE SENSITIVE;;BROSSE SIMPLE CHOISE SENSITIVE;PARAPHARMA;PARAPHARMA;20000;0;Non;5;2030-01-01;rayon
170296;BROSSE TRISA;;BROSSE TRISA;PARAPHARMA;PARAPHARMA;20000;0;Non;2;2030-01-01;rayon
40092;BRU A LEVRE LIP BALM NATURAL;;BRU A LEVRE LIP BALM NATURAL;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2028-09-01;rayon
41091;BRU A LEVRE LIP BALM PEARL SHINE;;BRU A LEVRE LIP BALM PEARL SHINE;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2027-01-01;rayon
7302111;BRU A LEVRE LIP BALM STRAWBERY;;BRU A LEVRE LIP BALM STRAWBERY;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2030-01-01;rayon
PARF008;BRU A LEVRE VASELINE;;BRU A LEVRE VASELINE;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2027-04-01;rayon
BRUT001;BRUT EAU DE COLOGNE;;BRUT EAU DE COLOGNE;PARAPHARMA;PARAPHARMA;75000;0;Non;0;2020-01-01;rayon
CAND0001;CANDIA DETAILLE;;CANDIA DETAILLE;PARAPHARMA;PARAPHARMA;15000;10000;Non;0;2026-09-01;rayon
