Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
MIXA007,DENTRIFICE COLGATE TOTAL 75ML ADVANCED,,DENTRIFICE COLGATE TOTAL 75ML ADVANCED,PARAPHARMA,PARAPHARMA,25000,25000,Non,6,46447
MIXA004,DENTRIFICE COLGATE TOTAL CHARCOAL,,DENTRIFICE COLGATE TOTAL CHARCOAL,PARAPHARMA,PARAPHARMA,25000,0,Non,3,47543
9291895,DENTRIFICE GUMFORTE,,DENTRIFICE GUMFORTE,PARAPHARMA,PARAPHARMA,30000,15000,Non,4,46600
PARO007,DENTRIFICE PARODONTAX,,DENTRIFICE PARODONTAX,PARAPHARMA,PARAPHARMA,60000,35500,Non,1,46388
SNON008,DENTRIFICE SENSODYNE REPARE ET PROTEGE,,DENTRIFICE SENSODYNE REPARE ET PROTEGE,PARAPHARMA,PARAPHARMA,65000,13000,Non,0,46235
22036,DENTRIFICE TERAXYL,,DENTRIFICE TERAXYL,PARAPHARMA,PARAPHARMA,30000,0,Non,0,46388
SENS002,DENTRIFRICE COLGATE MAX FRESH VERT,,DENTRIFRICE COLGATE MAX FRESH VERT,PARAPHARMA,PARAPHARMA,20000,42191,Non,8,47027
8108000,DENTRIFRICE WHITE 2 IN 1,,DENTRIFRICE WHITE 2 IN 1,PARAPHARMA,PARAPHARMA,30000,0,Non,1,46753
4000317,DEO 33%,,DEO 33%,PARAPHARMA,PARAPHARMA,40000,0,Non,5,46753
1260155,DEO ADIDAS,,DEO ADIDAS,PARAPHARMA,PARAPHARMA,40000,0,Non,0,47484
DEOA005,DEO ADIDAS 48HR,,DEO ADIDAS 48HR,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44986
DEOA008,DEO ADIDAS ICE DIVE,,DEO ADIDAS ICE DIVE,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44986
DEOA006,DEO ADIDAS PURE GAME,,DEO ADIDAS PURE GAME,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44986
4004858,DEO ALTA,,DEO ALTA,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
7693686,DEO AMALFI,,DEO AMALFI,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
DEOA004,DEO AXE,,DEO AXE,PARAPHARMA,PARAPHARMA,40000,0,Non,33,47543
DEOA002,DEO AXE DARK,,DEO AXE DARK,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44986
7140558,DEO BONJOUR,,DEO BONJOUR,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
21404,DEO BRUT,,DEO BRUT,PARAPHARMA,PARAPHARMA,35000,0,Non,30,46753
deo01,DEO CIEN,,DEO CIEN,PARAPHARMA,PARAPHARMA,50000,35000,Non,19,47818
DCF0001,DEO CONFETTI,,DEO CONFETTI,PARAPHARMA,PARAPHARMA,30000,21200,Non,26,47727
6008907,DEO DIABLE BLEU,,DEO DIABLE BLEU,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
DEO0001,DEO DIAMANT NOIR,,DEO DIAMANT NOIR,PARAPHARMA,PARAPHARMA,35000,25000,Non,1,47088
DEOD001,DEO DOVE,,DEO DOVE,PARAPHARMA,PARAPHARMA,35000,0,Non,22,46844
680751,DEO EVOLUDERM,,DEO EVOLUDERM,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
190596,DEO FA SPLASH,,DEO FA SPLASH,PARAPHARMA,PARAPHARMA,35000,0,Non,0,45658
1700515,DEO FAIR & WHITE,,DEO FAIR & WHITE,PARAPHARMA,PARAPHARMA,35000,0,Non,0,43831
DEOF001,DEO FANTASIA,,DEO FANTASIA,PARAPHARMA,PARAPHARMA,35000,0,Non,0,45017
4010125,DEO FREEDOM,,DEO FREEDOM,PARAPHARMA,PARAPHARMA,20000,0,Non,0,43831
JEAN001,DEO JEAN NATE,,DEO JEAN NATE,PARAPHARMA,PARAPHARMA,90000,0,Non,0,43831
DEO00012,DEO LILAS,,DEO LILAS,PARAPHARMA,PARAPHARMA,35000,25000,Non,7,47788
7616,DEO LOREAL,,DEO LOREAL,PARAPHARMA,PARAPHARMA,40000,0,Non,26,47484
DEOL001,DEO LOTUS,,DEO LOTUS,PARAPHARMA,PARAPHARMA,35000,0,Non,0,45017
5221570,DEO LUXONA,,DEO LUXONA,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
