Code,Nom,DCI,Marque,Categorie,Forme,Prix Vente,Prix Achat,Rx,Quantite,Peremption
PN0138,Colosar Denk 100/12.5 cp,,,Autre,Comprime,0,0,Non,10,
PN0139,Carvedi Denk 25mg cp,,,Autre,Comprime,0,0,Non,1,
PN0140,Carvedi Denk 6.25mg cp,,,Autre,Comprime,0,0,Non,0,
PN0141,Cataflam 25mg cp,,,Autre,Comprime,0,0,Non,2,
PN0142,Cataflam 50mg cp,,,Autre,Comprime,0,0,Non,1,
PN0143,Cefaloral 100mg cp,,,Autre,Comprime,0,0,Non,2,
PN0144,Cefaloral 200mg cp,,,Autre,Comprime,0,0,Non,3,
PN0145,Cefixidel cp 200g cp,,,Autre,Comprime,0,0,Non,2,
PN0146,Cenazol 500mg cp,,,Autre,Comprime,0,0,Non,1,
PN0147,Cenazol 250mg cp,,,Autre,Comprime,0,0,Non,5,
PN0148,Cetamyl 500mg cp,,,Autre,Comprime,0,0,Non,5,
PN0149,Cetamyl 1g cp,,,Autre,Comprime,0,0,Non,3,
PN0150,Celestene 2mg cp,,,Autre,Comprime,0,0,Non,0,
PN0151,Cefixim 200mg BGR cp,,,Autre,Comprime,0,0,Non,3,
PN0152,Ceficap 400mg cp,,,Autre,Comprime,0,0,Non,1,
PN0153,Chophytol cp,,,Autre,Comprime,0,0,Non,0,
PN0154,Cefim 200mg cp,,,Autre,Comprime,0,0,Non,2,
PN0155,Cefim 400 mg cp,,,Autre,Comprime,0,0,Non,1,
PN0156,Chondroflex cp,,,Autre,Comprime,0,0,Non,3,
PN0157,Chondrosteo cp,,,Autre,Comprime,0,0,Non,1,
PN0158,Chondrogen cp,,,Autre,Comprime,0,0,Non,2,
PN0159,Cinabac cp,,,Autre,Comprime,0,0,Non,0,
PN0160,Ciprolex TZ cp,,,Autre,Comprime,0,0,Non,2,
PN0161,Cipotax cp,,,Autre,Comprime,0,0,Non,3,
PN0162,Cipro Denk 500mg cp,,,Autre,Comprime,0,0,Non,4,
PN0163,Cipro Denk 750mg cp,,,Autre,Comprime,0,0,Non,2,
PN0164,Cipromed TZ cp,,,Autre,Comprime,0,0,Non,3,
PN0165,Cipromed cp,,,Autre,Comprime,0,0,Non,2,
PN0166,Cipronat 500mg cp,,,Autre,Comprime,0,0,Non,2,
PN0167,Cipronat 750mg cp,,,Autre,Comprime,0,0,Non,3,
PN0168,Ciptin Forte cp,,,Autre,Comprime,0,0,Non,0,
PN0169,Caplin ciptin cp,,,Autre,Comprime,0,0,Non,0,
PN0170,Citrate de Betaïne cp,,,Autre,Comprime,0,0,Non,0,
PN0171,Clamoxyl 500mg cp,,,Autre,Comprime,0,0,Non,15,
PN0172,Clamoxyl 1g cp,,,Autre,Comprime,0,0,Non,3,
